,Source of Revenue Accrued,"Sales setelah dikurangi diskon, sebelum PB1/PPN, sebelum Service Charge, sebelum komisi online dan biaya EDC/QRIS","Sales setelah dikurangi diskon, sebelum PB1/PPN, sebelum Service Charge, sebelum komisi online dan biaya EDC/QRIS","Sales setelah dikurangi diskon, sebelum PB1/PPN, sebelum Service Charge, sebelum komisi online dan biaya EDC/QRIS",
,Payment Frequency,"Investor Revenue Share: Monthly, 15th
Investor Fixed Payment: Monthly, 15th
Carry: Monthly, 15th
","Investor Revenue Share: Monthly, 15th
Investor Fixed Payment: Monthly, 15th
Carry: Monthly, 15th
","Investor Revenue Share: Monthly, 15th
Investor Fixed Payment: Monthly, 15th
Carry: Monthly, 15th
",
,Late Fee,"0.08% per day to investor
0.02% per day to ASN
Basis: Overdue Amount
Grace: 5 days","0.08% per day to investor
0.02% per day to ASN
Basis: Overdue Amount
Grace: 5 days","0.08% per day to investor
0.02% per day to ASN
Basis: Overdue Amount
Grace: 5 days",
,PT,PT Steak Hotel 1,PT Steak Hotel 1,PT Steak Hotel 2,
,,,,,
C,Format if comparing between Fixed projects,,,,
,Metric,Steak Hotel by Holycow (#0.1) — Central Kitchen,,,
,Financing Type,Fixed Return,,,
,Amount,"Rp 1,000,000,000",,,
,Principal Outstanding,"Rp 300,000,000",,,
,Fixed Amount,"Rp 1,000,000,000 (33% of Disbursed)
Fixed Installment: 47,520,000 per month for 20 months starting from 15 May 2024",,,
,Target Carry,"5%
Fixed",,,
,Term,4 months,,,
,IRR,"22.1% OTF
19.5% original projected",,,
,MOIC,"OTF MOIC: 1.2x
Original Projected: 1.2x
",,,
,BEP,"OTF BEP: 12 months
Original Projected: 13 months",,,
,DPD,"0 days max
",,,
,Payment Frequency,Monthly,,,
,Late Fee,"0.08% per day to investor
0.02% per day to ASN
Basis: Outstanding Amount
Grace: 0 days",,,
,Fixed Payment Investor ROIC per Month,1.60%,,,
,Fixed Payment Total implied ROIC per Month,2.02%,,,
,PT,PT Steak Hotel 1,,,
,,,,,
D,Format if comparing between Daily Interest projects,,,,
,Metric,Steak Hotel by Holycow (#6) - PO Financing,Steak Hotel by Holycow (#5) - PO Financing,,
,Financing Type,PO ,PO ,,
,Amount,Rp 1.500.000.000,Rp 1.500.000.000,,
,Principal Outstanding,N/A,Rp 1.500.000.000,,
,Target Carry,"0.6% per 30 days
Fixed","0.6% per 30 days
Fixed",,
,Term,60 days,60 days,,
,IRR,"22.1% OTF
19.5% original projected","22.1% OTF
19.5% original projected",,
,MOIC,"OTF MOIC: 1.2x
Original Projected: 1.38x
","OTF MOIC: 1.2x
Original Projected: 1.38x
",,
,DPD,N/A,"60 days max
- 15 Feb 2024 — 60d overdue — Paid
- 15 Dec 2023 — 15d overdue — Paid",,
,Late Fee,"0.053333% per day to investor
0.02% per day to ASN
Basis: Overdue Amount
Grace: 5 days","0.053333% per day to investor
0.02% per day to ASN
Basis: Overdue Amount
Grace: 5 days",,
,Fixed Payment Investor ROIC per Month,1.6% per 30 days,1.6% per 30 days,,
,Fixed Payment Total implied ROIC per Month,2.2% per 30 days,2.2% per 30 days,,
,Minimum Payment Period,30 days,30 days,,Always show this field if combination of projects has any Daily Interest
,PT,PT Steak Hotel 1,PT Steak Hotel 1,,
,,,,,
E,Format if Fixed vs. Daily Interest projects,,,,
,Metric,Steak Hotel by Holycow (#0.1) — Central Kitchen,Steak Hotel by Holycow (#6) - PO Financing,,
,Financing Type,Fixed Return,PO ,,
,Amount,"Rp 1,000,000,000",Rp 1.500.000.000,,
,Principal Outstanding,"Rp 300,000,000",Rp 1.500.000.000,,
,Fixed Amount,"Rp 1,000,000,000 (33% of Disbursed)
Fixed Installment: 47,520,000 per month for 20 months starting from 15 May 2024",N/A,,
,Target Carry,"5%
Fixed","0.6% per 30 days
Fixed",,
,Term,4 months,60 days,,
,IRR,"22.1% OTF
19.5% original projected","22.1% OTF
19.5% original projected",,
,MOIC,"OTF MOIC: 1.2x
Original Projected: 1.2x
","OTF MOIC: 1.2x
Original Projected: 1.38x
",,
,BEP,"OTF BEP: 12 months
Original Projected: 13 months",N/A,,
,DPD,"0 days max
","60 days max
- 15 Feb 2024 — 60d overdue — Paid
- 15 Dec 2023 — 15d overdue — Paid",,
,Payment Frequency,Monthly,N/A,,
,Late Fee,"0.08% per day to investor
0.02% per day to ASN
Basis: Outstanding Amount
Grace: 0 days","0.053333% per day to investor
0.02% per day to ASN
Basis: Overdue Amount
Grace: 5 days",,
,Fixed Payment Investor ROIC per Month,1.60%,1.6% per 30 days,,
,Fixed Payment Total implied ROIC per Month,2.02%,2.2% per 30 days,,
,Minimum Payment Period,,,,
,PT,PT Steak Hotel 1,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
A,Comparing Rev Share (+ Fixed) vs Fixed,"Maju #4 - Working Capital
",,,
B,Comparing between Rev Share (+ Fixed) projects,"Steak Hotel by Holycow Medan:  
",,,
C,Comparing between Fixed projects,"Shushu (#1) - Branch Renovation
",,,
D,Comparing between Daily Interest projects,"Cahaya Energi Asia - Aztech #1
",,,
E,Comparing Fixed vs. Daily Interest projects,Cipta Usaha Media (#26) — PO Financing: Orang Tua,,,
,Comparing All Return Projects,Mitra Agro Nusantara (#5) — Working Capital V,,,
